lib	name	group
PLAlihqR292303-634	Vrsx_279	G1
PLAlihqR292304-635	Vrsx_280	G1
PLAlihqR292305-636	Vrsx_281	G1
PLAlihqR292306-637	Vrsx_282	G1
PLAlihqR292307-639	Vrsx_284	G1
PLAlihqR292308-640	Vrsx_286	G1
PLAlihqR292309-642	Vrsx_287	G1
PLAlihqR292310-643	Vrsx_288	G1
PLAlihqR292311-645	Vrsx_289	G1
PLAlihqR292312-646	Vrsx_290	G1
PLAlihqR292313-648	Vrsx_291	G1
PLAlihqR292314-649	Vrsx_292	G1
PLAlihqR292315-650	Vrsx_293	G1
PLAlihqR292316-651	Vrsx_294	G1
PLAlihqR292317-652	Vrsx_295	G1
PLAlihqR292318-665	Vrsx_296	G1
PLAlihqR292319-686	Vrsx_297	G1
PLAlihqR292320-693	Vrsx_298	G1
PLAlihqR292321-704	Vrsx_299	G1
PLAlihqR292322-709	Vrsx_300	G1
PLAlihqR292323-732	Vrsx_301	G1
PLAlihqR292324-762	Vrsx_302	G1
PLAlihqR292325-653	Vrsx_303	G1
PLAlihqR292326-654	Vrsx_304	G1
PLAlihqR292327-656	Vrsx_305	G1
PLAlihqR292328-657	Vrsx_306	G1
PLAlihqR292329-658	Vrsx_307	G1
PLAlihqR292330-659	Vrsx_308	G1
PLAlihqR292331-660	Vrsx_309	G1
PLAlihqR292332-661	Vrsx_310	G1
PLAlihqR292333-662	Vrsx_311	G1
PLAlihqR292334-663	Vrsx_312	G1
PLAlihqR292335-664	Vrsx_313	G1
PLAlihqR292336-666	Vrsx_315	G1
PLAlihqR292337-667	Vrsx_317	G1
PLAlihqR292338-668	Vrsx_319	G1
PLAlihqR292339-669	Vrsx_320	G1
PLAlihqR292340-670	Vrsx_321	G1
PLAlihqR292341-671	Vrsx_322	G1
PLAlihqR292342-672	Vrsx_323	G1
PLAlihqR292343-673	Vrsx_324	G1
PLAlihqR292344-674	Vrsx_325	G1
PLAlihqR292345-675	Vrsx_326	G1
PLAlihqR292346-676	Vrsx_327	G1
PLAlihqR292347-678	Vrsx_328	G1
PLAlihqR292348-679	Vrsx_329	G1
PLAlihqR292349-681	Vrsx_330	G1
PLAlihqR292350-682	Vrsx_331	G1
PLAlihqR292351-683	Vrsx_332	G1
PLAlihqR292352-684	Vrsx_333	G1
PLAlihqR292353-685	Vrsx_334	G1
PLAlihqR292354-401	Vrsx_336	G1
PLAlihqR292355-402	Vrsx_338	G1
PLAlihqR292356-403	Vrsx_339	G1
PLAlihqR292357-404	Vrsx_340	G1
PLAlihqR292358-405	Vrsx_343	G1
PLAlihqR292359-406	Vrsx_344	G1
PLAlihqR292360-407	Vrsx_345	G1
PLAlihqR292361-409	Vrsx_346	G1
PLAlihqR292362-410	Vrsx_347	G1
PLAlihqR292363-411	Vrsx_348	G1
PLAlihqR292364-412	Vrsx_349	G1
PLAlihqR292365-413	Vrsx_350	G1
PLAlihqR292366-414	Vrsx_351	G1
PLAlihqR292367-415	Vrsx_352	G1
PLAlihqR292368-416	Vrsx_354	G1
PLAlihqR292369-602	Vrsx_355	G1
PLAlihqR292370-603	Vrsx_356	G1
PLAlihqR292371-604	Vrsx_357	G1
PLAlihqR292372-605	Vrsx_358	G1
PLAlihqR292373-607	Vrsx_359	G1
PLAlihqR292374-608	Vrsx_360	G1
PLAlihqR292375-609	Vrsx_361	G1
PLAlihqR292376-610	Vrsx_362	G1
PLAlihqR292377-611	Vrsx_363	G1
PLAlihqR292378-612	Vrsx_364	G1
PLAlihqR292379-613	Vrsx_365	G1
PLAlihqR292380-614	Vrsx_366	G1
PLAlihqR292381-616	Vrsx_367	G1
PLAlihqR292382-618	Vrsx_368	G1
PLAlihqR292384-620	Vrsx_369	G1
PLAlihqR292385-621	Vrsx_370	G1
PLAlihqR292386-622	Vrsx_371	G1
PLAlihqR292387-623	Vrsx_373	G1
PLAlihqR292388-624	Vrsx_374	G1
PLAlihqR292389-625	Vrsx_375	G1
PLAlihqR292390-626	Vrsx_376	G1
PLAlihqR292391-627	Vrsx_377	G1
PLAlihqR292392-628	Vrsx_378	G1
PLAlihqR292393-629	Vrsx_379	G1
PLAlihqR292394-630	Vrsx_380	G1
PLAlihqR292395-631	Vrsx_381	G1
PLAlihqR292396-632	Vrsx_382	G1
PLAlihqR292397-633	Vrsx_383	G1
PLAlihqR292398-634	Vrsx_384	G1
PLAlihqR292399-635	Vrsx_385	G1
PLAlihqR292400-636	Vrsx_386	G1
PLAlihqR292401-637	Vrsx_387	G1
PLAlihqR292402-639	Vrsx_389	G1
PLAlihqR292403-640	Vrsx_390	G1
PLAlihqR292404-642	Vrsx_391	G1
PLAlihqR292405-643	Vrsx_392	G1
PLAlihqR292406-645	Vrsx_393	G1
PLAlihqR292407-646	Vrsx_420	G1
PLAlihqR292408-648	Vrsx_421	G1
PLAlihqR292409-649	Vrsx_422	G1
PLAlihqR292410-650	Vrsx_423	G1
PLAlihqR292411-651	Vrsx_424	G1
PLAlihqR292412-652	Vrsx_425	G1
PLAlihqR292413-665	Vrsx_427	G1
PLAlihqR292414-686	Vrsx_428	G1
PLAlihqR292415-693	Vrsx_429	G1
PLAlihqR292416-704	Vrsx_430	G1
PLAlihqR292417-709	Vrsx_431	G1
PLAlihqR292418-732	Vrsx_432	G1
PLAlihqR292419-762	Vrsx_433	G1
PLAlihqR292420-687	Vrsx_434	G1
PLAlihqR292421-688	Vrsx_435	G1
PLAlihqR292422-690	Vrsx_436	G1
PLAlihqR292423-691	Vrsx_437	G1
PLAlihqR292424-692	Vrsx_438	G1
PLAlihqR292425-695	Vrsx_439	G1
PLAlihqR292426-701	Vrsx_440	G1
PLAlihqR292427-703	Vrsx_441	G1
PLAlihqR292428-706	Vrsx_442	G1
PLAlihqR292429-707	Vrsx_443	G1
PLAlihqR292430-708	Vrsx_444	G1
PLAlihqR292431-710	Vrsx_445	G1
PLAlihqR292432-713	Vrsx_446	G1
PLAlihqR292433-714	Vrsx_447	G1
PLAlihqR292434-716	Vrsx_448	G1
PLAlihqR292435-717	Vrsx_449	G1
PLAlihqR292436-719	Vrsx_450	G1
PLAlihqR292437-720	Vrsx_451	G1
PLAlihqR292438-723	Vrsx_452	G1
PLAlihqR292439-724	Vrsx_453	G1
PLAlihqR292440-728	Vrsx_454	G1
PLAlihqR292441-730	Vrsx_455	G1
PLAlihqR292442-731	Vrsx_456	G1
PLAlihqR292443-733	Vrsx_457	G1
PLAlihqR292444-734	Vrsx_458	G1
PLAlihqR292445-735	Vrsx_459	G1
PLAlihqR292446-736	Vrsx_460	G1
PLAlihqR292447-737	Vrsx_461	G1
PLAlihqR292448-739	Vrsx_462	G1
