lib	name	group
PLAtgbyR287114-640	SK0146A	G1
PLAtgbyR287115-650	SK0147A	G1
PLAtgbyR287116-651	SK0148A	G1
PLAtgbyR287117-652	SK0149A	G1
PLAtgbyR287118-653	SK0150A	G1
PLAtgbyR287119-654	SK0151A	G1
PLAtgbyR287120-659	SK0152A	G1
PLAtgbyR287121-660	SK0153A	G1
PLAtgbyR287122-661	SK0154A	G1
PLAtgbyR287123-662	SK0155A	G1
PLAtgbyR287124-663	SK0156A	G1
PLAtgbyR287125-664	SK0157A	G1
PLAtgbyR287126-665	SK0158A	G1
PLAtgbyR287127-666	SK0159A	G1
PLAtgbyR287128-667	SK0160A	G1
PLAtgbyR287129-668	SK0161A	G1
PLAtgbyR287130-608	SK0162A	G1
PLAtgbyR287131-609	SK0163A	G1
PLAtgbyR287132-613	SK0164A	G1
PLAtgbyR287133-614	SK0165A	G1
PLAtgbyR287134-623	SK0166A	G1
PLAtgbyR287135-624	SK0167A	G1
PLAtgbyR287136-633	SK0168A	G1
PLAtgbyR287137-634	SK0169A	G1
PLAtgbyR287138-645	SK0170A	G1
PLAtgbyR287139-649	SK0171A	G1
PLAtgbyR287140-658	SK0172A	G1
PLAtgbyR287141-702	SK0173A	G1
PLAtgbyR287142-708	SK0174A	G1
PLAtgbyR287143-710	SK0175A	G1
PLAtgbyR287144-713	SK0176A	G1
PLAtgbyR287145-714	SK0177A	G1
PLAtgbyR287146-716	SK0178A	G1
PLAtgbyR287147-717	SK0179A	G1
PLAtgbyR287148-718	SK0180A	G1
PLAtgbyR287149-719	SK0181A	G1
PLAtgbyR287150-720	SK0182A	G1
PLAtgbyR287151-721	SK0183A	G1
PLAtgbyR287152-722	SK0184A	G1
PLAtgbyR287153-723	SK0185A	G1
PLAtgbyR287154-724	SK0186A	G1
PLAtgbyR287155-726	SK0187A	G1
PLAtgbyR287156-728	SK0188A	G1
PLAtgbyR287157-729	SK0189A	G1
PLAtgbyR287158-730	SK0190A	G1
PLAtgbyR287159-731	SK0191A	G1
PLAtgbyR287160-733	SK0192A	G1
PLAtgbyR287161-734	SK0193A	G1
PLAtgbyR287162-735	SK0194A	G1
PLAtgbyR287163-736	SK0195A	G1
PLAtgbyR287164-737	SK0196A	G1
PLAtgbyR287165-738	SK0197A	G1
PLAtgbyR287166-739	SK0198A	G1
PLAtgbyR287739-608	SK0199A	G1
PLAtgbyR287740-609	SK0200A	G1
PLAtgbyR287741-613	SK0201A	G1
PLAtgbyR287742-614	SK0202A	G1
PLAtgbyR287743-623	SK0203A	G1
PLAtgbyR287744-624	SK0204A	G1
PLAtgbyR287745-633	SK0205A	G1
PLAtgbyR287746-634	SK0206A	G1
PLAtgbyR287747-645	SK0207A	G1
PLAtgbyR287748-649	SK0208A	G1
PLAtgbyR287749-658	SK0209A	G1
PLAtgbyR287750-702	SK0210A	G1
PLAtgbyR287751-708	SK0211A	G1
PLAtgbyR287752-710	SK0212A	G1
PLAtgbyR287753-713	SK0213A	G1
PLAtgbyR287755-716	SK0214A	G1
PLAtgbyR287756-717	SK0215A	G1
PLAtgbyR287757-718	SK0216A	G1
PLAtgbyR287758-719	SK0217A	G1
PLAtgbyR287759-720	SK0218A	G1
PLAtgbyR287760-721	SK0219A	G1
PLAtgbyR287761-722	SK0220A	G1
PLAtgbyR287762-723	SK0221A	G1
PLAtgbyR287763-724	SK0222A	G1
PLAtgbyR287764-726	SK0223A	G1
PLAtgbyR287765-728	SK0224A	G1
PLAtgbyR287766-729	SK0225A	G1
PLAtgbyR287767-730	SK0226A	G1
PLAtgbyR287768-731	SK0227A	G1
PLAtgbyR287769-733	SK0228A	G1
PLAtgbyR287770-734	SK0229A	G1
PLAtgbyR287771-735	SK0230A	G1
PLAtgbyR287772-736	SK0231A	G1
PLAtgbyR287773-737	SK0232A	G1
PLAtgbyR287774-738	SK0233A	G1
PLAtgbyR287775-739	SK0234A	G1
PLAtgbyR287776-740	SK0235A	G1
PLAtgbyR287777-741	SK0236A	G1
PLAtgbyR287778-742	SK0237A	G1
PLAtgbyR287779-743	SK0238A	G1
PLAtgbyR287780-744	SK0239A	G1
PLAtgbyR287781-746	SK0240A	G1
PLAtgbyR287782-747	SK0241A	G1
PLAtgbyR287783-748	SK0242A	G1
PLAtgbyR287784-749	SK0243A	G1
PLAtgbyR287785-750	SK0244A	G1
PLAtgbyR287786-751	SK0245A	G1
PLAtgbyR287787-752	SK0246A	G1
PLAtgbyR287788-753	SK0247A	G1
PLAtgbyR287789-754	SK0248A	G1
PLAtgbyR287790-755	SK0249A	G1
PLAtgbyR287791-756	SK0250A	G1
PLAtgbyR287792-757	SK0251A	G1
PLAtgbyR287793-758	SK0252A	G1
PLAtgbyR287794-759	SK0253A	G1
PLAtgbyR287795-760	SK0254A	G1
PLAtgbyR287796-761	SK0255A	G1
PLAtgbyR287797-764	SK0256A	G1
PLAtgbyR287798-765	SK0257A	G1
PLAtgbyR287799-766	SK0258A	G1
PLAtgbyR287800-767	SK0259A	G1
PLAtgbyR287801-768	SK0260A	G1
PLAtgbyR287802-769	SK0261A	G1
PLAtgbyR287803-770	SK0262A	G1
PLAtgbyR287804-771	SK0263A	G1
PLAtgbyR287805-618	SK0264A	G1
PLAtgbyR287806-619	SK0265A	G1
PLAtgbyR287807-620	SK0266A	G1
PLAtgbyR287808-625	SK0267A	G1
PLAtgbyR287809-626	SK0268A	G1
PLAtgbyR287810-627	SK0269A	G1
PLAtgbyR287811-628	SK0270A	G1
PLAtgbyR287812-629	SK0271A	G1
PLAtgbyR287813-630	SK0272A	G1
PLAtgbyR287814-635	SK0273A	G1
PLAtgbyR287815-636	SK0274A	G1
PLAtgbyR287816-637	SK0275A	G1
PLAtgbyR287817-639	SK0276A	G1
PLAtgbyR287818-640	SK0277A	G1
PLAtgbyR287819-650	SK0278A	G1
PLAtgbyR287820-651	SK0279A	G1
PLAtgbyR287821-652	SK0280A	G1
PLAtgbyR287822-653	SK0281A	G1
PLAtgbyR287823-654	SK0282A	G1
PLAtgbyR287824-659	SK0283A	G1
PLAtgbyR287825-660	SK0284A	G1
PLAtgbyR287826-661	SK0285A	G1
PLAtgbyR287827-662	SK0286A	G1
PLAtgbyR287828-663	SK0287A	G1
PLAtgbyR287829-664	SK0288A	G1
PLAtgbyR287830-665	SK0289A	G1
PLAtgbyR287831-666	SK0290A	G1
PLAtgbyR287832-667	SK0291A	G1
PLAtgbyR287833-668	SK0292A	G1
PLAtgbyR287834-608	SK0293A	G1
PLAtgbyR287835-609	SK0294A	G1
PLAtgbyR287836-613	SK0295A	G1
PLAtgbyR287837-614	SK0296A	G1
PLAtgbyR287838-623	SK0297A	G1
PLAtgbyR287839-624	SK0298A	G1
PLAtgbyR287840-633	SK0299A	G1
PLAtgbyR287841-634	SK0300A	G1
PLAtgbyR287842-645	SK0301A	G1
PLAtgbyR287843-649	SK0302A	G1
PLAtgbyR287844-658	SK0303A	G1
PLAtgbyR287845-702	SK0304A	G1
PLAtgbyR287846-708	SK0305A	G1
PLAtgbyR287847-710	SK0306A	G1
PLAtgbyR287848-713	SK0307A	G1
PLAtgbyR287849-714	SK0308A	G1
PLAtgbyR287850-716	SK0309A	G1
PLAtgbyR287851-717	SK0310A	G1
PLAtgbyR287852-718	SK0311A	G1
PLAtgbyR287853-719	SK0312A	G1
PLAtgbyR287854-720	SK0313A	G1
PLAtgbyR287855-721	SK0314A	G1
PLAtgbyR287856-722	SK0315A	G1
PLAtgbyR287857-723	SK0316A	G1
PLAtgbyR287858-724	SK0317A	G1
PLAtgbyR287859-726	SK0318A	G1
PLAtgbyR287860-728	SK0319A	G1
PLAtgbyR287861-729	SK0320A	G1
PLAtgbyR287862-730	SK0321A	G1
PLAtgbyR287863-731	SK0322A	G1
PLAtgbyR287864-733	SK0323A	G1
PLAtgbyR287865-734	SK0324A	G1
PLAtgbyR287866-735	SK0325A	G1
PLAtgbyR287867-736	SK0326A	G1
PLAtgbyR287868-737	SK0327A	G1
PLAtgbyR287870-739	SK0328A	G1
PLAtgbyR287871-740	SK0329A	G1
PLAtgbyR287872-741	SK0330A	G1
PLAtgbyR287873-742	SK0331A	G1
PLAtgbyR287874-743	SK0332A	G1
PLAtgbyR287875-744	SK0333A	G1
PLAtgbyR287876-746	SK0334A	G1
PLAtgbyR287877-747	SK0335A	G1
PLAtgbyR287878-748	SK0336A	G1
PLAtgbyR287879-749	SK0337A	G1
PLAtgbyR287880-750	SK0338A	G1
PLAtgbyR287881-751	SK0339A	G1
PLAtgbyR287882-752	SK0340A	G1
PLAtgbyR287883-753	SK0341A	G1
PLAtgbyR287884-754	SK0342A	G1
PLAtgbyR287885-755	SK0343A	G1
PLAtgbyR287886-756	SK0344A	G1
PLAtgbyR287887-757	SK0345A	G1
PLAtgbyR287888-758	SK0346A	G1
PLAtgbyR287889-759	SK0347A	G1
PLAtgbyR287890-760	SK0348A	G1
PLAtgbyR287891-761	SK0349A	G1
PLAtgbyR287892-764	SK0350A	G1
PLAtgbyR287893-765	SK0351A	G1
PLAtgbyR287894-766	SK0352A	G1
PLAtgbyR287895-767	SK0353A	G1
PLAtgbyR287896-768	SK0354A	G1
PLAtgbyR287897-769	SK0355A	G1
PLAtgbyR287898-770	SK0356A	G1
PLAtgbyR287899-771	SK0357A	G1
PLAtgbyR287900-669	SK0358A	G1
PLAtgbyR287901-670	SK0359A	G1
PLAtgbyR287902-671	SK0360A	G1
PLAtgbyR287903-672	SK0361A	G1
PLAtgbyR287904-673	SK0362A	G1
PLAtgbyR287905-674	SK0363A	G1
PLAtgbyR287906-675	SK0364A	G1
PLAtgbyR287907-676	SK0365A	G1
PLAtgbyR287908-678	SK0366A	G1
PLAtgbyR287909-679	SK0367A	G1
PLAtgbyR287910-681	SK0368A	G1
PLAtgbyR287911-682	SK0369A	G1
PLAtgbyR287912-683	SK0370A	G1
PLAtgbyR287913-684	SK0371A	G1
PLAtgbyR287914-685	SK0372A	G1
PLAtgbyR287915-686	SK0373A	G1
PLAtgbyR287916-687	SK0374A	G1
PLAtgbyR287917-688	SK0375A	G1
PLAtgbyR287918-690	SK0376A	G1
PLAtgbyR287919-691	SK0377A	G1
PLAtgbyR287920-692	SK0378A	G1
PLAtgbyR287921-693	SK0379A	G1
PLAtgbyR287922-695	SK0380A	G1
PLAtgbyR287923-703	SK0381A	G1
PLAtgbyR287924-706	SK0382A	G1
PLAtgbyR287925-707	SK0383A	G1
PLAtgbyR287926-709	SK0384A	G1
PLAtgbyR287927-732	SK0385A	G1
PLAtgbyR287928-762	SK0386A	G1
PLAtgbyR288845-648	SK0387A	G1
PLAtgbyR288846-657	SK0388A	G1
PLAtgbyR288847-704	SK0389A	G1
PLAtgbyR288848-401	SK0390A	G1
PLAtgbyR288849-402	SK0391A	G1
PLAtgbyR288850-403	SK0392A	G1
PLAtgbyR288851-404	SK0393A	G1
PLAtgbyR288852-405	SK0394A	G1
PLAtgbyR288853-406	SK0395A	G1
PLAtgbyR288854-407	SK0396A	G1
PLAtgbyR288855-409	SK0397A	G1
PLAtgbyR288856-410	SK0398A	G1
PLAtgbyR288857-411	SK0399A	G1
PLAtgbyR288858-412	SK0400A	G1
PLAtgbyR288859-413	SK0401A	G1
PLAtgbyR288860-414	SK0402A	G1
PLAtgbyR288861-415	SK0403A	G1
PLAtgbyR288863-602	SK0404A	G1
PLAtgbyR288864-603	SK0405A	G1
PLAtgbyR288865-604	SK0406A	G1
PLAtgbyR288866-605	SK0407A	G1
PLAtgbyR288867-610	SK0408A	G1
PLAtgbyR288868-616	SK0409A	G1
PLAtgbyR288869-618	SK0410A	G1
PLAtgbyR288870-619	SK0411A	G1
PLAtgbyR288871-620	SK0412A	G1
PLAtgbyR288872-625	SK0413A	G1
PLAtgbyR288873-626	SK0414A	G1
PLAtgbyR288874-627	SK0415A	G1
PLAtgbyR288875-628	SK0416A	G1
PLAtgbyR288876-629	SK0417A	G1
PLAtgbyR288877-630	SK0418A	G1
PLAtgbyR288878-635	SK0419A	G1
PLAtgbyR288879-636	SK0420A	G1
PLAtgbyR288880-637	SK0421A	G1
PLAtgbyR288881-639	SK0422A	G1
PLAtgbyR288882-640	SK0423A	G1
PLAtgbyR288883-650	SK0424A	G1
PLAtgbyR288884-651	SK0425A	G1
PLAtgbyR288885-652	SK0426A	G1
PLAtgbyR288886-653	SK0427A	G1
PLAtgbyR288887-654	SK0428A	G1
PLAtgbyR288888-659	SK0429A	G1
PLAtgbyR288889-660	SK0430A	G1
PLAtgbyR288890-661	SK0431A	G1
PLAtgbyR288891-662	SK0432A	G1
PLAtgbyR288892-663	SK0433A	G1
PLAtgbyR288893-664	SK0434A	G1
PLAtgbyR288894-665	SK0435A	G1
PLAtgbyR288895-666	SK0436A	G1
PLAtgbyR288896-667	SK0437A	G1
PLAtgbyR288897-668	SK0438A	G1
PLAtgbyR288898-669	SK0439A	G1
PLAtgbyR288899-670	SK0440A	G1
PLAtgbyR288900-671	SK0441A	G1
PLAtgbyR288901-672	SK0442A	G1
PLAtgbyR288902-673	SK0443A	G1
PLAtgbyR288903-674	SK0444A	G1
PLAtgbyR288904-675	SK0445A	G1
PLAtgbyR288905-676	SK0446A	G1
PLAtgbyR288906-678	SK0447A	G1
PLAtgbyR288907-679	SK0448A	G1
PLAtgbyR288908-681	SK0449A	G1
PLAtgbyR288909-682	SK0450A	G1
PLAtgbyR288910-683	SK0451A	G1
PLAtgbyR288911-684	SK0452A	G1
PLAtgbyR288912-685	SK0453A	G1
PLAtgbyR288913-686	SK0454A	G1
PLAtgbyR288914-687	SK0455A	G1
PLAtgbyR288915-688	SK0456A	G1
PLAtgbyR288916-690	SK0457A	G1
PLAtgbyR288917-691	SK0458A	G1
PLAtgbyR288918-692	SK0459A	G1
PLAtgbyR288919-693	SK0460A	G1
PLAtgbyR288920-695	SK0461A	G1
PLAtgbyR288921-703	SK0462A	G1
PLAtgbyR288922-706	SK0463A	G1
PLAtgbyR288923-707	SK0464A	G1
PLAtgbyR288924-709	SK0465A	G1
PLAtgbyR288925-732	SK0466A	G1
PLAtgbyR288926-762	SK0467A	G1
PLAtgbyR288927-608	SK0468A	G1
PLAtgbyR288928-609	SK0469A	G1
PLAtgbyR288929-613	SK0470A	G1
PLAtgbyR288930-614	SK0471A	G1
PLAtgbyR288931-623	SK0472A	G1
PLAtgbyR288932-624	SK0473A	G1
PLAtgbyR288933-633	SK0474A	G1
PLAtgbyR288934-634	SK0475A	G1
PLAtgbyR288935-645	SK0476A	G1
PLAtgbyR288936-649	SK0477A	G1
PLAtgbyR288937-658	SK0478A	G1
PLAtgbyR288938-702	SK0479A	G1
PLAtgbyR288939-708	SK0480A	G1
PLAtgbyR288940-710	SK0481A	G1
PLAtgbyR288941-713	SK0482A	G1
PLAtgbyR288942-714	SK0483A	G1
PLAtgbyR288943-716	SK0484A	G1
PLAtgbyR288944-717	SK0485A	G1
PLAtgbyR288945-718	SK0486A	G1
PLAtgbyR288946-719	SK0487A	G1
PLAtgbyR288947-720	SK0488A	G1
PLAtgbyR288948-721	SK0489A	G1
PLAtgbyR288949-722	SK0490A	G1
PLAtgbyR288950-723	SK0491A	G1
PLAtgbyR288951-724	SK0492A	G1
PLAtgbyR288952-726	SK0493A	G1
PLAtgbyR288953-728	SK0494A	G1
PLAtgbyR288954-729	SK0495A	G1
PLAtgbyR288955-730	SK0496A	G1
PLAtgbyR288956-731	SK0497A	G1
PLAtgbyR288957-733	SK0498A	G1
PLAtgbyR288958-734	SK0499A	G1
PLAtgbyR288959-735	SK0500A	G1
PLAtgbyR288960-736	SK0501A	G1
PLAtgbyR288961-737	SK0502A	G1
PLAtgbyR288962-738	SK0503A	G1
PLAtgbyR288963-739	SK0504A	G1
PLAtgbyR288964-740	SK0505A	G1
PLAtgbyR288965-741	SK0506A	G1
PLAtgbyR288966-742	SK0507A	G1
PLAtgbyR288967-743	SK0508A	G1
PLAtgbyR288968-744	SK0509A	G1
PLAtgbyR288969-746	SK0510A	G1
PLAtgbyR288970-747	SK0511A	G1
PLAtgbyR288971-748	SK0512A	G1
PLAtgbyR288972-749	SK0513A	G1
PLAtgbyR288973-750	SK0514A	G1
PLAtgbyR288974-751	SK0515A	G1
PLAtgbyR288975-752	SK0516A	G1
PLAtgbyR288976-753	SK0517A	G1
PLAtgbyR288977-754	SK0518A	G1
PLAtgbyR288978-755	SK0520A	G1
PLAtgbyR288980-757	SK0521A	G1
PLAtgbyR288981-758	SK0522A	G1
PLAtgbyR288982-759	SK0523A	G1
PLAtgbyR288983-760	SK0524A	G1
PLAtgbyR288984-761	SK0525A	G1
PLAtgbyR288985-764	SK0526A	G1
PLAtgbyR288986-765	SK0527A	G1
PLAtgbyR288987-766	SK0528A	G1
PLAtgbyR288988-767	SK0529A	G1
PLAtgbyR288989-768	SK0530A	G1
PLAtgbyR288990-769	SK0531A	G1
PLAtgbyR288991-770	SK0532A	G1
PLAtgbyR288992-771	SK0533A	G1
PLAtgbyR288993-618	SK0534A	G1
PLAtgbyR288994-619	SK0535A	G1
PLAtgbyR288995-620	SK0536A	G1
PLAtgbyR288996-625	SK0537A	G1
PLAtgbyR288997-626	SK0538A	G1
PLAtgbyR288998-627	SK0539A	G1
PLAtgbyR288999-628	SK0540A	G1
PLAtgbyR289000-629	SK0541A	G1
PLAtgbyR289001-630	SK0542A	G1
PLAtgbyR289002-635	SK0543A	G1
PLAtgbyR289003-636	SK0544A	G1
PLAtgbyR289004-637	SK0545A	G1
PLAtgbyR289005-639	SK0546A	G1
PLAtgbyR289006-640	SK0547A	G1
PLAtgbyR289007-650	SK0548A	G1
PLAtgbyR289008-651	SK0549A	G1
PLAtgbyR289009-652	SK0550A	G1
PLAtgbyR289010-653	SK0551A	G1
PLAtgbyR289011-654	SK0552A	G1
