INDV	Group
GLCB-BL2	H2
GLCB-BL3	H30
GLCB-BL7	H7
GLCB-BL8	H8
GLCB-BL10	H10
GLCB-BL15	H15
GLCB-BL18	H18
GLCB-BL21	H21
GLCB-BL23	H23
GLCB-BL26	H26
GLCB-BL27	H27
GLCB-BL1	H1
GLCB-BL4	H4
GLCB-BL5	H5
GLCB-BL6	H6
GLCB-BL9	H9
GLCB-BL11	H11
GLCB-BL12	H12
GLCB-BL13	H13
GLCB-BL14	H14
GLCB-BL16	H16
GLCB-BL17	H17
GLCB-BL19	H19
GLCB-BL20	H20
GLCB-BL22	H22
GLCB-BL24	H24
GLCB-BL25	H25
GLCB-BL28	H28
GLCB-BL29	H29
GLCB-BL30	H30
