lib	name	group
PLAgetzR300066-662	PK169	G1
PLAaztmR292765-682	PK170	G1
PLAgetzR300067-663	PK171	G1
PLAgetzR300068-664	PK172	G1
PLAgetzR300069-666	PK173	G1
PLAgetzR300070-667	PK174	G1
PLAgetzR300071-668	PK175	G1
PLAgetzR300072-669	PK176	G1
PLAaztmR292766-683	PK177	G1
PLAgetzR300073-670	PK178	G1
PLAgetzR300074-671	PK179	G1
PLAgetzR300075-672	PK180	G1
PLAgetzR300076-673	PK181	G1
PLAgetzR300077-674	PK182	G1
PLAgetzR300078-675	PK183	G1
PLAgetzR300079-676	PK184	G1
PLAgetzR300080-678	PK185	G1
PLAgetzR300081-679	PK186	G1
PLAgetzR300082-681	PK187	G1
PLAgetzR300083-682	PK188	G1
PLAgetzR300084-683	PK189	G1
PLAgetzR300085-684	PK190	G1
PLAgetzR300086-685	PK191	G1
PLAgetzR300087-401	PK192	G1
PLAgetzR300088-402	PK193	G1
PLAgetzR300089-403	PK194	G1
PLAgetzR300090-404	PK195	G1
PLAgetzR300091-405	PK196	G1
PLAgetzR300092-406	PK197	G1
PLAgetzR300093-407	PK198	G1
PLAgetzR300094-409	PK199	G1
PLAgetzR300095-410	PK200	G1
PLAgetzR300096-411	PK201	G1
PLAgetzR300097-412	PK202	G1
PLAgetzR300098-413	PK203	G1
PLAgetzR300099-414	PK204	G1
PLAgetzR300100-415	PK205	G1
PLAgetzR300101-416	PK206	G1
PLAgetzR300102-602	PK207	G1
PLAgetzR300103-603	PK208	G1
PLAgetzR300104-604	PK209	G1
PLAgetzR300105-605	PK210	G1
PLAgetzR300106-607	PK211	G1
PLAgetzR300107-608	PK212	G1
PLAgetzR300108-609	PK213	G1
PLAgetzR300109-610	PK214	G1
PLAgetzR300110-611	PK215	G1
PLAgetzR300111-612	PK216	G1
PLAgetzR300112-613	PK217	G1
PLAgetzR300113-614	PK218	G1
PLAgetzR300114-616	PK219	G1
PLAgetzR300956-602	PK220	G1
PLAgetzR300957-603	PK221	G1
PLAgetzR300958-604	PK222	G1
PLAgetzR300959-605	PK223	G1
PLAgetzR300960-607	PK224	G1
PLAgetzR300961-608	PK225	G1
PLAgetzR300962-609	PK226	G1
PLAgetzR300963-610	PK227	G1
PLAgetzR300964-611	PK228	G1
PLAgetzR300965-612	PK229	G1
PLAgetzR300966-613	PK230	G1
PLAgetzR300967-614	PK231	G1
PLAgetzR300968-616	PK232	G1
PLAgetzR300969-618	PK233	G1
PLAgetzR300970-619	PK234	G1
PLAgetzR300971-620	PK235	G1
PLAgetzR300972-621	PK236	G1
PLAgetzR300973-622	PK237	G1
PLAgetzR300974-623	PK238	G1
PLAgetzR300975-624	PK239	G1
PLAgetzR300976-625	PK240	G1
PLAgetzR300978-627	PK241	G1
PLAgetzR300979-628	PK242	G1
PLAgetzR300980-629	PK243	G1
PLAgetzR300981-630	PK244	G1
PLAgetzR300982-631	PK245	G1
PLAgetzR300983-632	PK246	G1
PLAgetzR300984-633	PK247	G1
PLAgetzR300985-634	PK248	G1
PLAgetzR300986-635	PK249	G1
PLAgetzR300987-636	PK250	G1
PLAgetzR300988-637	PK251	G1
PLAgetzR300989-639	PK252	G1
PLAgetzR300990-640	PK253	G1
PLAgetzR300991-642	PK254	G1
PLAgetzR300992-643	PK255	G1
PLAgetzR300993-645	PK256	G1
PLAgetzR300994-646	PK257	G1
PLAgetzR300995-648	PK258	G1
PLAgetzR300996-649	PK259	G1
PLAgetzR300997-650	PK260	G1
PLAgetzR300998-651	PK261	G1
PLAgetzR300999-652	PK262	G1
PLAgetzR301000-665	PK263	G1
PLAgetzR301001-686	PK264	G1
PLAgetzR301002-693	PK265	G1
PLAgetzR301003-704	PK266	G1
PLAgetzR301004-709	PK267	G1
PLAgetzR301005-732	PK268	G1
