lib	name	group
PLAszhcR282355-703	GL169	G1
PLAszhcR282356-706	GL170	G1
PLAszhcR282357-707	GL171	G1
PLAszhcR282358-709	GL172	G1
PLAszhcR282359-732	GL173	G1
PLAszhcR282360-762	GL174	G1
PLAszhcR282361-606	GL175	G1
PLAszhcR282362-611	GL176	G1
PLAszhcR282363-621	GL177	G1
PLAszhcR282364-631	GL178	G1
PLAszhcR282365-642	GL179	G1
PLAszhcR282366-646	GL180	G1
PLAszhcR282367-656	GL181	G1
PLAszhcR282368-701	GL182	G1
PLAszhcR282369-607	GL183	G1
PLAszhcR282370-612	GL184	G1
PLAszhcR282371-622	GL185	G1
PLAszhcR282372-632	GL186	G1
PLAszhcR282373-643	GL187	G1
PLAszhcR282374-648	GL188	G1
PLAszhcR282375-657	GL189	G1
PLAszhcR282376-704	GL190	G1
PLAszhcR282377-401	GL191	G1
PLAszhcR282378-402	GL192	G1
PLAszhcR282379-403	GL193	G1
PLAszhcR282380-404	GL194	G1
PLAszhcR282381-405	GL195	G1
PLAszhcR282382-406	GL196	G1
PLAszhcR282383-407	GL197	G1
PLAszhcR282384-409	GL198	G1
PLAszhcR282385-410	GL199	G1
PLAszhcR282386-411	GL200	G1
PLAszhcR282387-412	GL201	G1
PLAszhcR282388-413	GL202	G1
PLAszhcR282389-414	GL203	G1
PLAszhcR282390-415	GL204	G1
PLAszhcR282391-416	GL205	G1
PLAszhcR282392-602	GL206	G1
PLAszhcR282393-603	GL207	G1
PLAszhcR282394-604	GL208	G1
PLAszhcR282395-605	GL209	G1
PLAszhcR282396-610	GL210	G1
PLAszhcR282397-616	GL211	G1
PLAszhcR282398-618	GL212	G1
PLAszhcR282399-619	GL213	G1
PLAszhcR282400-620	GL214	G1
PLAszhcR282401-625	GL215	G1
PLAszhcR282402-626	GL216	G1
PLAszhcR282403-627	GL217	G1
PLAszhcR282404-628	GL218	G1
PLAszhcR282405-629	GL219	G1
PLAszhcR282406-630	GL220	G1
PLAszhcR282407-635	GL221	G1
PLAszhcR282408-636	GL222	G1
PLAszhcR282409-637	GL223	G1
PLAszhcR282410-639	GL224	G1
PLAszhcR282411-640	GL225	G1
PLAszhcR282412-650	GL226	G1
PLAszhcR282413-651	GL227	G1
PLAszhcR282414-652	GL228	G1
PLAszhcR282415-653	GL229	G1
PLAszhcR282416-654	GL230	G1
PLAszhcR282418-660	GL231	G1
PLAszhcR282419-661	GL232	G1
PLAszhcR282420-662	GL233	G1
PLAszhcR282421-663	GL234	G1
PLAszhcR282422-664	GL235	G1
PLAszhcR282423-665	GL236	G1
PLAszhcR282424-666	GL237	G1
PLAszhcR282425-667	GL238	G1
PLAszhcR282426-668	GL239	G1
PLAszhcR282427-669	GL240	G1
PLAszhcR282428-670	GL241	G1
PLAszhcR282429-671	GL242	G1
PLAszhcR282430-672	GL243	G1
PLAszhcR282431-673	GL244	G1
PLAszhcR282432-674	GL245	G1
PLAszhcR282433-675	GL246	G1
PLAszhcR282434-676	GL247	G1
PLAszhcR282435-678	GL248	G1
PLAszhcR282436-679	GL249	G1
PLAszhcR282437-681	GL250	G1
PLAszhcR282438-682	GL251	G1
PLAszhcR282439-683	GL252	G1
PLAszhcR282440-684	GL253	G1
PLAszhcR282441-685	GL254	G1
PLAszhcR282442-686	GL255	G1
PLAszhcR282443-687	GL256	G1
PLAszhcR282444-688	GL257	G1
PLAszhcR282445-690	GL258	G1
PLAszhcR282446-691	GL259	G1
PLAszhcR282447-692	GL260	G1
PLAszhcR282448-693	GL261	G1
PLAszhcR282449-695	GL262	G1
PLAszhcR282450-703	GL263	G1
PLAszhcR282451-706	GL264	G1
PLAszhcR282452-707	GL265	G1
PLAszhcR282453-709	GL266	G1
PLAszhcR282454-732	GL267	G1
PLAszhcR282455-762	GL268	G1
PLAszhcR282456-608	GL269	G1
PLAszhcR282457-609	GL270	G1
PLAszhcR282458-613	GL271	G1
PLAszhcR282459-614	GL272	G1
PLAszhcR282460-623	GL273	G1
PLAszhcR282461-624	GL274	G1
PLAszhcR282462-633	GL275	G1
PLAszhcR282463-634	GL276	G1
PLAszhcR282464-645	GL277	G1
PLAszhcR282465-649	GL278	G1
PLAszhcR282466-658	GL279	G1
PLAszhcR282467-702	GL280	G1
PLAszhcR282468-708	GL281	G1
PLAszhcR282469-710	GL282	G1
PLAszhcR282470-713	GL283	G1
PLAszhcR282471-714	GL284	G1
PLAszhcR282472-716	GL285	G1
PLAszhcR282473-717	GL286	G1
PLAszhcR282474-718	GL287	G1
PLAszhcR282475-719	GL288	G1
PLAszhcR282476-720	GL289	G1
PLAszhcR282477-721	GL290	G1
PLAszhcR282478-722	GL291	G1
PLAszhcR282479-723	GL292	G1
PLAszhcR282480-724	GL293	G1
PLAszhcR282481-726	GL294	G1
PLAszhcR282482-728	GL295	G1
PLAszhcR282483-729	GL296	G1
PLAszhcR282484-730	GL297	G1
PLAszhcR282485-731	GL298	G1
PLAszhcR282486-733	GL299	G1
PLAszhcR282487-734	GL300	G1
PLAszhcR282488-735	GL301	G1
PLAszhcR282489-736	GL302	G1
PLAszhcR282490-737	GL303	G1
PLAszhcR282491-738	GL304	G1
PLAszhcR282492-739	GL305	G1
PLAszhcR282493-740	GL306	G1
PLAszhcR282494-741	GL307	G1
PLAszhcR282495-742	GL308	G1
PLAszhcR282496-743	GL309	G1
PLAszhcR282497-744	GL310	G1
PLAszhcR282498-746	GL311	G1
PLAszhcR282499-747	GL312	G1
