lib	name	group
BOSfjxpR281993-708	29967A	G1
BOSfjxpR281994-710	29950A	G1
BOSfjxpR281995-713	29958A	G1
BOSfjxpR281996-714	29965A	G1
BOSfjxpR281997-716	29964A	G1
BOSfjxpR281998-717	29917A	G1
BOSfjxpR281999-718	29968A	G1
BOSfjxpR282000-719	29948A	G1
BOSfjxpR282001-720	29943A	G1
BOSfjxpR282002-721	29978A	G1
BOSfjxpR282003-722	29941A	G1
BOSfjxpR282004-723	29960A	G1
BOSfjxpR282005-724	29949A	G1
BOSfjxpR282006-726	26348A	G1
BOSfjxpR282007-728	26970A	G1
BOSfjxpR282008-729	26966A	G1
BOSfjxpR282009-730	26968A	G1
BOSfjxpR282010-731	26969A	G1
BOSfjxpR282011-733	21477A	G1
BOSfjxpR282012-734	21480A	G1
BOSfjxpR282013-735	21461A	G1
BOSfjxpR282014-736	21425A	G1
BOSfjxpR282015-737	21436A	G1
BOSfjxpR282016-738	21426A	G1
BOSfjxpR282017-739	29651A	G1
BOSfjxpR282018-740	29637A	G1
BOSfjxpR282019-741	10721A	G1
BOSfjxpR282020-742	29630A	G1
BOSfjxpR282021-743	22890A	G1
BOSfjxpR282022-744	23476A	G1
BOSfjxpR282023-746	29644A	G1
BOSfjxpR282024-747	29628A	G1
BOSfjxpR282025-748	29660A	G1
NIUynwgR305785-754	29643A	G1
NIUynwgR305786-755	29627A	G1
NIUynwgR305787-756	23478A	G1
NIUynwgR305788-757	29622A	G1
NIUynwgR305789-758	29645A	G1
NIUynwgR305790-759	29654A	G1
NIUynwgR305791-760	23484A	G1
NIUynwgR305792-761	29638A	G1
NIUynwgR305793-764	23482A	G1
NIUynwgR305794-765	29657A	G1
NIUynwgR305795-766	22875A	G1
NIUynwgR305796-767	29653A	G1
NIUynwgR305797-768	29624A	G1
NIUynwgR305798-769	22891A	G1
NIUynwgR305799-770	23483A	G1
NIUynwgR305800-771	29656A	G1
NIUynwgR308864-758	22877A	G1
NIUynwgR308865-759	29636A	G1
NIUynwgR308866-760	29639A	G1
NIUynwgR308867-761	29240A	G1
NIUynwgR308868-764	25781A	G1
NIUynwgR308869-765	29233A	G1
NIUynwgR308870-766	29235A	G1
NIUynwgR308871-767	25788A	G1
NIUynwgR308872-768	29215A	G1
NIUynwgR308873-769	29241A	G1
NIUynwgR308874-770	29228A	G1
NIUynwgR308875-771	25785A	G1
NIUynwgR308876-401	29264A	G1
NIUynwgR308877-402	29217A	G1
NIUynwgR308878-403	25794A	G1
NIUynwgR308879-404	29214A	G1
NIUynwgR308880-405	29259A	G1
NIUynwgR308881-406	29533A	G1
NIUynwgR308882-407	29536A	G1
NIUynwgR308883-409	29555A	G1
NIUynwgR308884-410	29535A	G1
NIUynwgR308885-411	29551A	G1
NIUynwgR308886-412	29557A	G1
NIUynwgR308887-413	29472A	G1
NIUynwgR308888-414	29553A	G1
NIUynwgR308889-415	29556A	G1
NIUynwgR308890-416	29534A	G1
NIUynwgR308891-602	29558A	G1
NIUynwgR308892-603	29330A	G1
NIUynwgR308893-604	29554A	G1
NIUynwgR308894-605	29328A	G1
NIUynwgR308895-607	29357A	G1
NIUynwgR308896-608	29537A	G1
NIUynwgR308897-609	29540A	G1
NIUynwgR308898-610	29538A	G1
NIUynwgR308899-611	29531A	G1
NIUynwgR308900-612	29327A	G1
NIUynwgR308901-613	29530A	G1
NIUynwgR308902-614	29559A	G1
NIUynwgR308903-616	29519A	G1
NIUynwgR308904-618	29329A	G1
NIUynwgR308905-619	29520A	G1
NIUynwgR308906-620	29356A	G1
NIUynwgR308907-621	29326A	G1
NIUynwgR308908-622	29503A	G1
NIUynwgR308909-623	29518A	G1
NIUynwgR308910-624	29524A	G1
NIUynwgR308911-625	29528A	G1
NIUynwgR308912-626	29560A	G1
NIUynwgR308913-627	29525A	G1
NIUynwgR308914-628	29355A	G1
NIUynwgR308915-629	29521A	G1
NIUynwgR308916-630	29510A	G1
NIUynwgR308917-631	29527A	G1
NIUynwgR308918-632	29523A	G1
NIUynwgR308919-633	29522A	G1
NIUynwgR308920-634	29526A	G1
NIUynwgR308921-635	29529A	G1
NIUynwgR308922-636	29477A	G1
NIUynwgR308923-637	29502A	G1
NIUynwgR308924-639	29506A	G1
NIUynwgR308925-640	29509A	G1
NIUynwgR308926-642	29470A	G1
NIUynwgR308927-643	29505A	G1
NIUynwgR308928-645	29507A	G1
NIUynwgR308929-646	24093A	G1
NIUynwgR308930-648	29514A	G1
NIUynwgR308931-649	29471A	G1
NIUynwgR308932-650	29517A	G1
NIUynwgR308933-651	25782A	G1
NIUynwgR308934-652	29516A	G1
NIUynwgR308935-665	29501A	G1
NIUynwgR308936-686	29513A	G1
NIUynwgR308937-693	29512A	G1
NIUynwgR308938-704	29508A	G1
NIUynwgR308939-709	25790A	G1
NIUynwgR308940-732	29504A	G1
NIUynwgR308942-653	29515A	G1
NIUynwgR308943-654	29469A	G1
NIUynwgR308944-656	27680A	G1
NIUynwgR308945-657	27661A	G1
NIUynwgR308946-658	27700A	G1
NIUynwgR308947-659	27690A	G1
NIUynwgR308948-660	27670A	G1
NIUynwgR308949-661	29859A	G1
NIUynwgR308950-662	27698A	G1
NIUynwgR308951-663	29846A	G1
NIUynwgR308952-664	21035A	G1
NIUynwgR308953-666	27669A	G1
NIUynwgR308954-667	29854A	G1
NIUynwgR308955-668	27674A	G1
NIUynwgR308956-669	27677A	G1
NIUynwgR308957-670	27625A	G1
NIUynwgR308958-671	21032A	G1
NIUynwgR308959-672	27622A	G1
NIUynwgR308960-673	27624A	G1
NIUynwgR308961-674	26648A	G1
NIUynwgR308962-675	27691A	G1
NIUynwgR308963-676	27666A	G1
NIUynwgR308964-678	27682A	G1
NIUynwgR308965-679	27656A	G1
NIUynwgR308966-681	27650A	G1
NIUynwgR308967-682	26641A	G1
NIUynwgR308968-683	27638A	G1
NIUynwgR308969-684	27633A	G1
NIUynwgR308970-685	27634A	G1
NIUynwgR308971-401	27643A	G1
NIUynwgR308972-402	27668A	G1
NIUynwgR308973-403	27667A	G1
NIUynwgR308974-404	27689A	G1
NIUynwgR308975-405	27688A	G1
NIUynwgR308976-406	29640B	G1
NIUynwgR308977-407	25798B	G1
