lib	name	group
PLAsutyR303872-704	RC157A	G1
PLAsutyR303873-709	RC158A	G1
PLAsutyR303874-732	RC159A	G1
PLAsutyR303875-762	RC160A	G1
PLAsutyR303876-653	RC161A	G1
PLAsutyR303877-654	RC162A	G1
PLAsutyR303878-656	RC163A	G1
PLAsutyR303879-657	RC164A	G1
PLAsutyR303880-658	RC165A	G1
PLAsutyR303881-659	RC166A	G1
PLAsutyR303882-660	RC167A	G1
PLAsutyR303883-661	RC168A	G1
PLAsutyR303884-662	RC169A	G1
PLAsutyR303885-663	RC170A	G1
PLAsutyR303886-664	RC171A	G1
PLAsutyR303887-666	RC172A	G1
PLAsutyR303888-667	RC173A	G1
PLAsutyR303889-668	RC174A	G1
PLAsutyR303890-669	RC175A	G1
PLAsutyR303891-670	RC176A	G1
PLAsutyR303892-671	RC177A	G1
PLAsutyR303893-672	RC178A	G1
PLAsutyR303894-673	RC179A	G1
PLAsutyR303895-674	RC180A	G1
PLAsutyR303896-675	RC181A	G1
PLAsutyR303897-676	RC182A	G1
PLAsutyR303898-678	RC183A	G1
PLAsutyR303899-679	RC184A	G1
PLAsutyR303900-681	RC185A	G1
PLAsutyR303901-682	RC186A	G1
PLAsutyR303902-683	RC187A	G1
PLAsutyR303903-684	RC188A	G1
PLAsutyR303904-685	RC189A	G1
PLAsutyR303905-401	RC190A	G1
PLAsutyR303906-402	RC191A	G1
PLAsutyR303907-403	RC192A	G1
PLAsutyR303908-404	RC193A	G1
PLAsutyR303909-405	RC194A	G1
PLAsutyR303910-406	RC195A	G1
PLAsutyR303911-407	RC196A	G1
PLAsutyR303912-409	RC197A	G1
PLAsutyR303913-410	RC198A	G1
PLAsutyR303914-411	RC199A	G1
PLAsutyR303915-412	RC200A	G1
PLAsutyR303916-413	RC201A	G1
PLAsutyR303917-414	RC202A	G1
PLAsutyR303918-415	RC203A	G1
PLAsutyR303919-416	RC204A	G1
PLAsutyR303920-602	RC205A	G1
PLAsutyR303921-603	RC206A	G1
PLAsutyR303922-604	RC208A	G1
PLAsutyR303923-605	RC209A	G1
PLAsutyR303924-607	RC210A	G1
PLAsutyR303925-608	RC211A	G1
PLAsutyR303926-609	RC212A	G1
PLAsutyR303927-610	RC213A	G1
PLAsutyR303928-611	RC214A	G1
PLAsutyR303929-612	RC215A	G1
PLAsutyR303930-613	RC216A	G1
PLAsutyR303931-614	RC217A	G1
PLAsutyR303932-616	RC218A	G1
PLAsutyR303933-618	RC219A	G1
PLAsutyR303934-619	RC220A	G1
PLAsutyR303935-620	RC221A	G1
PLAsutyR303936-621	RC222A	G1
PLAsutyR303937-622	RC223A	G1
PLAsutyR303938-623	RC224A	G1
PLAsutyR303939-624	RC225A	G1
PLAsutyR303940-625	RC226A	G1
PLAsutyR306381-603	RC227A	G1
PLAsutyR306382-604	RC228A	G1
PLAsutyR306383-605	RC229A	G1
PLAsutyR306384-607	RC230A	G1
PLAsutyR306385-608	RC231A	G1
PLAsutyR306386-609	RC232A	G1
PLAsutyR306387-610	RC233A	G1
PLAsutyR306388-611	RC234A	G1
PLAsutyR306389-612	RC235A	G1
PLAsutyR306390-613	RC236A	G1
PLAsutyR306391-614	RC237A	G1
PLAsutyR306392-616	RC238A	G1
PLAsutyR306394-619	RC239A	G1
PLAsutyR306395-620	RC240A	G1
PLAsutyR306396-621	RC241A	G1
PLAsutyR306397-622	RC242A	G1
PLAsutyR306398-623	RC243A	G1
PLAsutyR306399-624	RC244A	G1
PLAsutyR306400-625	RC245A	G1
PLAsutyR306401-626	RC246A	G1
PLAsutyR306402-627	RC247A	G1
PLAsutyR306403-628	RC248A	G1
PLAsutyR306404-629	RC249A	G1
PLAsutyR306405-630	RC250A	G1
PLAsutyR306406-631	RC251A	G1
PLAsutyR306407-632	RC252A	G1
PLAsutyR306408-633	RC253A	G1
PLAsutyR306409-634	RC254A	G1
PLAsutyR306410-635	RC255A	G1
PLAsutyR306411-636	RC256A	G1
PLAsutyR306412-637	RC257A	G1
PLAsutyR306413-639	RC258A	G1
PLAsutyR306414-640	RC259A	G1
PLAsutyR306415-642	RC260A	G1
PLAsutyR306416-643	RC261A	G1
PLAsutyR306417-645	RC262A	G1
PLAsutyR306418-646	RC263A	G1
PLAsutyR306419-648	RC264A	G1
PLAsutyR306420-649	RC265A	G1
PLAsutyR306421-650	RC266A	G1
PLAsutyR306422-651	RC267A	G1
PLAsutyR306423-652	RC268A	G1
PLAsutyR306424-665	RC269A	G1
PLAsutyR306425-686	RC270A	G1
PLAsutyR306426-693	RC271A	G1
PLAsutyR306427-704	RC272A	G1
PLAsutyR306428-709	RC273A	G1
PLAsutyR306429-732	RC274A	G1
PLAsutyR306430-762	RC275A	G1
PLAsutyR306431-653	RC276A	G1
PLAsutyR306432-654	RC277A	G1
PLAsutyR306433-656	RC278A	G1
PLAsutyR306434-657	RC279A	G1
PLAsutyR306435-658	RC280A	G1
PLAsutyR306436-659	RC281A	G1
PLAsutyR306437-660	RC282A	G1
PLAsutyR306438-661	RC283A	G1
PLAsutyR306439-662	RC284A	G1
PLAsutyR306440-663	RC285A	G1
PLAsutyR306441-664	RC286A	G1
PLAsutyR306442-666	RC287A	G1
PLAsutyR306443-667	RC288A	G1
PLAsutyR306444-668	RC289A	G1
PLAsutyR306445-669	RC290A	G1
PLAsutyR306446-670	RC291A	G1
PLAsutyR306447-671	RC293A	G1
PLAsutyR306448-672	RC294A	G1
PLAsutyR306449-673	RC295A	G1
PLAsutyR306450-674	RC296A	G1
PLAsutyR306451-675	RC297A	G1
PLAsutyR306452-676	RC298A	G1
PLAsutyR306453-678	RC299A	G1
PLAsutyR306454-679	RC300A	G1
PLAsutyR306455-681	RC302A	G1
PLAsutyR306456-682	RC303A	G1
PLAsutyR306457-683	RC304A	G1
PLAsutyR306458-401	RC305A	G1
PLAsutyR306459-402	RC306A	G1
PLAsutyR306460-403	RC307A	G1
PLAsutyR306461-404	RC308A	G1
PLAsutyR306462-405	RC309A	G1
PLAsutyR306463-406	RC310A	G1
PLAsutyR306464-407	RC311A	G1
PLAsutyR306465-409	RC312A	G1
PLAsutyR306466-410	RC313A	G1
PLAsutyR306467-411	RC314A	G1
PLAsutyR306468-412	RC315A	G1
PLAsutyR306469-413	RC316A	G1
PLAsutyR306470-414	RC317A	G1
PLAsutyR306471-415	RC318A	G1
PLAsutyR306472-416	RC319A	G1
PLAsutyR306473-602	RC320A	G1
PLAsutyR306474-603	RC321A	G1
PLAsutyR306475-604	RC322A	G1
PLAsutyR306476-605	RC323A	G1
PLAsutyR306477-607	RC324A	G1
PLAsutyR306478-608	RC325A	G1
PLAsutyR306479-609	RC326A	G1
PLAsutyR306480-610	RC327A	G1
PLAsutyR306481-611	RC328A	G1
PLAsutyR306482-612	RC329A	G1
PLAsutyR306483-613	RC330A	G1
PLAsutyR306484-614	RC331A	G1
PLAsutyR306485-616	RC332A	G1
PLAsutyR306486-618	RC333A	G1
PLAsutyR306487-619	RC334A	G1
